title,developer,publisher_na,publisher_eu,release_na,release_eu,img,wiki_link,genre,mode
Disney's The Jungle Book,"Eurocom, Virgin Interactive",Virgin Interactive,Virgin Interactive,August 1994,"August 25, 1994",https://upload.wikimedia.org/wikipedia/en/thumb/1/1f/Jungle_Book_game_cover.jpg/220px-Jungle_Book_game_cover.jpg,https://en.wikipedia.org/wiki/The_Jungle_Book_(video_game),Platformer,Single-player
Disney's The Lion King,Dark Technologies,Unreleased,Virgin Interactive,Unreleased,"May 25, 1995",https://upload.wikimedia.org/wikipedia/en/thumb/1/16/The_Lion_King_Coverart.png/220px-The_Lion_King_Coverart.png,https://en.wikipedia.org/wiki/The_Lion_King_(video_game),Platform,Single-player
Disney's The Little Mermaid,Capcom,Capcom,Unreleased,July 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/f/f6/Little_Mermaid_game_cover.jpg/220px-Little_Mermaid_game_cover.jpg,https://en.wikipedia.org/wiki/The_Little_Mermaid_(video_game),Action,Single-player
Donkey Kong,"Nintendo Research & Development 1, Nintendo Research & Development 2",Nintendo,Nintendo,"June 1, 1986","October 15, 1986",https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Donkey_Kong_flier.jpg/220px-Donkey_Kong_flier.jpg,https://en.wikipedia.org/wiki/Donkey_Kong_(video_game),Platform,Single-player
Donkey Kong 3,Nintendo Research & Development 1,Nintendo,Nintendo,"June 6, 1986",September 1987,https://upload.wikimedia.org/wikipedia/en/thumb/2/27/Dk3_arcade.jpg/220px-Dk3_arcade.jpg,https://en.wikipedia.org/wiki/Donkey_Kong_3,Shooter,"Single-player, multiplayer"
Donkey Kong Classics,Nintendo,Nintendo,Nintendo,October 1988,"August 10, 1989",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Donkeykong-logo1.svg/250px-Donkeykong-logo1.svg.png,https://en.wikipedia.org/wiki/Donkey_Kong_Classics,"
Platform, Action-adventure, Puzzle, Racing
",
Donkey Kong Jr.,"Nintendo Research & Development 1, Nintendo Research & Development 2",Nintendo,Nintendo,"June 1, 1986",1987,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Donkey_Kong_Jr._arcade_promotional_flier.jpg/220px-Donkey_Kong_Jr._arcade_promotional_flier.jpg,https://en.wikipedia.org/wiki/Donkey_Kong_Jr.,Platform,"Single-player, two-player alternating"
Donkey Kong Jr. Math,Nintendo Research & Development 2,Nintendo,Nintendo,"June 6, 1986",September 1986,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Donkey_Kong_Jr_Math_box.jpg/220px-Donkey_Kong_Jr_Math_box.jpg,https://en.wikipedia.org/wiki/Donkey_Kong_Jr._Math,"Edutainment, platforming","Single-player, multiplayer"
Double Dare,Rare,GameTek,Unreleased,April 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/9/94/Double_Dare_NES_Game.jpg,https://en.wikipedia.org/wiki/Double_Dare_(video_game),Game show,"Single-player, multiplayer"
Double Dragon,Technōs Japan,Tradewest,Nintendo,June 1988,"September 28, 1990",https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/Ddragon_chirashi.jpg/220px-Ddragon_chirashi.jpg,https://en.wikipedia.org/wiki/Double_Dragon_(video_game),Beat 'em up,"Up to 2 players, simultaneous"
Double Dragon II: The Revenge,Technōs Japan,Acclaim Entertainment,Acclaim Entertainment,January 1990,August 1990,https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/DD2_Flyer.jpg/220px-DD2_Flyer.jpg,https://en.wikipedia.org/wiki/Double_Dragon_II:_The_Revenge,Beat 'em up,"Single-player, multiplayer"
Double Dragon III: The Sacred Stones,Technōs Japan,Acclaim Entertainment,Acclaim Entertainment,February 1991,January 1991,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/NES_Double_Dragon_III_cover.jpg/255px-NES_Double_Dragon_III_cover.jpg,https://en.wikipedia.org/wiki/Double_Dragon_III:_The_Sacred_Stones,Beat 'em up ,"Single-player, multiplayer"
Double Dribble,Konami,Konami,Konami,September 1987,1988,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/DoubleDribble_arcadeflyer.png/256px-DoubleDribble_arcadeflyer.png,https://en.wikipedia.org/wiki/Double_Dribble_(video_game),Sports (basketball),Up to two players.
Dr. Chaos,"Marionette, SRS",FCI,Unreleased,November 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/4/43/Drchaos_boxart.jpg,https://en.wikipedia.org/wiki/Dr._Chaos,Action-adventure,Single-player
Dr. Jekyll and Mr. Hyde,Advance Communication Company,Bandai,Unreleased,April 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/8/89/DrJekyllAndMrHydeNESBoxart.jpg/220px-DrJekyllAndMrHydeNESBoxart.jpg,https://en.wikipedia.org/wiki/Dr._Jekyll_and_Mr._Hyde_(video_game),Side-scrolling action,Single-player
Dr. Mario,Nintendo Research & Development 1,Nintendo,Nintendo,"October 14, 1990","June 27, 1991",https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Dr._Mario_box_art.jpg/220px-Dr._Mario_box_art.jpg,https://en.wikipedia.org/wiki/Dr._Mario,Puzzle,"Single-player, multiplayer"
Dragon Fighter,Natsume,SOFEL,Unreleased,January 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/a/a6/Dragon_Fighter_cover.jpg,https://en.wikipedia.org/wiki/Dragon_Fighter_(video_game),Action,Single-player
Dragon Power (NA)Dragon Ball (EU),TOSE,Bandai,Bandai,March 1988,1990,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Dragon_Ball_anime_logo.png/250px-Dragon_Ball_anime_logo.png,https://en.wikipedia.org/wiki/Dragon_Power,"Fighting, role-playing",
Dragon Spirit: The New Legend,Now Production,Bandai,Unreleased,June 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/1/19/Dragon-spirit.jpg/250px-Dragon-spirit.jpg,https://en.wikipedia.org/wiki/Dragon_Spirit:_The_New_Legend,Action[1],Single-player
Dragon Warrior,Chunsoft,Nintendo,Unreleased,August 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Dragon_Warrior.jpg/220px-Dragon_Warrior.jpg,https://en.wikipedia.org/wiki/Dragon_Quest_(video_game),Role-playing,Single-player
Dragon Warrior II,Chunsoft,Enix,Unreleased,September 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Dragon_Warrior_II.jpg/220px-Dragon_Warrior_II.jpg,https://en.wikipedia.org/wiki/Dragon_Quest_II,Role-playing,Single-player
Dragon Warrior III,Chunsoft,Enix,Unreleased,March 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/Dragon_Warrior_III.jpg/220px-Dragon_Warrior_III.jpg,https://en.wikipedia.org/wiki/Dragon_Quest_III,Role-playing,Single-player
Dragon Warrior IV,Chunsoft,Enix,Unreleased,October 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Dragon_Quest_IV_cover.jpg/220px-Dragon_Quest_IV_cover.jpg,https://en.wikipedia.org/wiki/Dragon_Quest_IV,Role-playing,Single-player
Dragon's Lair,MotiveTime,CSG Imagesoft,Elite Systems,December 1990,"January 3, 1992",https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Dragon%27s_Lair_NES_cover.jpg/220px-Dragon%27s_Lair_NES_cover.jpg,https://en.wikipedia.org/wiki/Dragon%27s_Lair_(NES_game),Cinematic platformer,"Single-player, multiplayer[a]"
Dropzone,Eurocom,Unreleased,Mindscape,Unreleased,1992,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/Dropzone_Original_Cover_Art.jpg/220px-Dropzone_Original_Cover_Art.jpg,https://en.wikipedia.org/wiki/Dropzone,Scrolling shooter,Single-player
Duck Hunt,"Nintendo Research & Development 1, Intelligent Systems",Nintendo,Nintendo,"October 18, 1985","August 15, 1987",https://upload.wikimedia.org/wikipedia/en/thumb/1/14/DuckHuntBox.jpg/220px-DuckHuntBox.jpg,https://en.wikipedia.org/wiki/Duck_Hunt,"Light gun shooter, sports, shooting gallery","Single-player, Two-Player"
DuckTales[a],Capcom,Capcom,Capcom,September 1989,"December 14, 1990",https://upload.wikimedia.org/wikipedia/en/thumb/6/64/DuckTales_NES_Cover.png/220px-DuckTales_NES_Cover.png,https://en.wikipedia.org/wiki/DuckTales_(video_game),Platform,Single-player
DuckTales 2,Make Software,Capcom,Capcom,June 1993,"November 18, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Ducktales_2_cover.png/220px-Ducktales_2_cover.png,https://en.wikipedia.org/wiki/DuckTales_2,Platform,Single-player
Dungeon Magic: Sword of the Elements,Natsume,Taito,Unreleased,July 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/8/85/Dungeon_Magic_Sword_of_the_Elements.jpg,https://en.wikipedia.org/wiki/Dungeon_Magic:_Sword_of_the_Elements,Role-playing game,Single-player
Dusty Diamond's All-Star Softball,TOSE,Brøderbund,Unreleased,July 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Dusty_Diamond%27s_All-Star_Softball_Cover.jpg/220px-Dusty_Diamond%27s_All-Star_Softball_Cover.jpg,https://en.wikipedia.org/wiki/Dusty_Diamond%27s_All-Star_Softball,Sports (softball) [1],Single-player  Multiplayer (up to 2 players)
Dynowarz: Destruction of Spondylus,Advance Communication Company,Bandai,Unreleased,April 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Dynowarztitle.PNG/220px-Dynowarztitle.PNG,https://en.wikipedia.org/wiki/Dynowarz:_Destruction_of_Spondylus,Platformer,Single-player
Elevator Action,Micronics,Taito,Unreleased,August 1987,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/Elevator_Action.png/220px-Elevator_Action.png,https://en.wikipedia.org/wiki/Elevator_Action,"Platform, action","Single-player, multiplayer"
Eliminator Boat Duel,Sculptured Software,Electro Brain,Storm,November 1991,"April 29, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Eliminator_Boat_Duel_cover.jpg/220px-Eliminator_Boat_Duel_cover.jpg,https://en.wikipedia.org/wiki/Eliminator_Boat_Duel,Racing,"Single-player, two-player"
Elite,David BrabenIan Bell,Unreleased,Imagineer,Unreleased,1991,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Elite_org_cover.jpg/220px-Elite_org_cover.jpg,https://en.wikipedia.org/wiki/Elite_(video_game),Space trading and combat simulator,Single player
Excitebike,Nintendo Research & Development 1,Nintendo,Nintendo,"October 18, 1985","September 1, 1986",https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Excitebike_cover.jpg/220px-Excitebike_cover.jpg,https://en.wikipedia.org/wiki/Excitebike,Racing,"Single player, multiplayer"
F-15 Strike Eagle,MicroProse,MicroProse,MicroProse,February 1992,"February 18, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/6/64/F-15_Strike_Eagle_Coverart.jpg/220px-F-15_Strike_Eagle_Coverart.jpg,https://en.wikipedia.org/wiki/F-15_Strike_Eagle_(video_game),Air combat simulation,Single-player
F-117A Stealth Fighter,MicroProse,MicroProse,Unreleased,December 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/F-117A_Stealth_Fighter_cover.png/220px-F-117A_Stealth_Fighter_cover.png,https://en.wikipedia.org/wiki/F-117A_Stealth_Fighter,Combat flight simulator,Single-player
Family Feud,Beam Software,GameTek,Unreleased,May 1991,Unreleased,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Logo_of_Family_Feud.png/250px-Logo_of_Family_Feud.png,https://www.mobygames.com/game/nes/family-feud____,Strategy,"Single player, multiplayer"
Faria: A World of Mystery and Danger,Game Arts,Nexoft,Unreleased,June 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/58/Faria_cover.jpg/220px-Faria_cover.jpg,https://en.wikipedia.org/wiki/Faria:_A_World_of_Mystery_and_Danger,Action role-playing,Single-player
Faxanadu,Hudson Soft,Nintendo,Nintendo,August 1989,"December 28, 1990",https://upload.wikimedia.org/wikipedia/en/5/57/Faxanadu_NES_US_box.jpg,https://en.wikipedia.org/wiki/Faxanadu,Action role-playing game,Single-player
Felix the Cat,Shimada Kikaku,Hudson Soft,Hudson Soft,October 1992,1992,https://upload.wikimedia.org/wikipedia/en/thumb/a/a9/FelixNESBoxart.JPG/220px-FelixNESBoxart.JPG,https://en.wikipedia.org/wiki/Felix_the_Cat_(video_game),Platform,Single-player
Ferrari Grand Prix Challenge,System 3,Acclaim Entertainment,Acclaim Entertainment,June 1992,June 1992,https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/F-1_Hero_MD.jpg/220px-F-1_Hero_MD.jpg,https://en.wikipedia.org/wiki/F-1_Hero_MD,Racing,Single-player
Fester's Quest,Sunsoft,Sunsoft,Sunsoft,September 1989,"September 14, 1990",https://upload.wikimedia.org/wikipedia/en/thumb/2/24/FestersQuest.jpg/220px-FestersQuest.jpg,https://en.wikipedia.org/wiki/Fester%27s_Quest,Run and gun / Adventure,Single-player
Final Fantasy,Square,Nintendo,Unreleased,May 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/FF1_USA_boxart.jpg/220px-FF1_USA_boxart.jpg,https://en.wikipedia.org/wiki/Final_Fantasy_(video_game),Role-playing,Single-player
Fire 'n Ice (NA)Solomon's Key 2 (EU),Tecmo,Tecmo,Tecmo,March 1993,"March 18, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Solomon%27s_Key_2_cover.jpg/220px-Solomon%27s_Key_2_cover.jpg,https://en.wikipedia.org/wiki/Fire_%27n_Ice,Puzzle game,Single-player
Fisher-Price: Firehouse Rescue,Imagineering,GameTek,Unreleased,March 1992,Unreleased,https://www.mobygames.com/images/shots/l/246775-fisher-price-firehouse-rescue-nes-screenshot-official-fisher.png,https://www.mobygames.com/game/fisher-price-firehouse-rescue,"Action, Racing",
Fisher-Price: I Can Remember,Beam Software,GameTek,Unreleased,March 1990,Unreleased,https://www.mobygames.com/images/covers/l/175579-fisher-price-i-can-remember-nes-front-cover.jpg,https://www.mobygames.com/game/fisher-price-i-can-remember,"Educational, Puzzle",
Fisher-Price: Perfect Fit,Beam Software,GameTek,Unreleased,March 1990,Unreleased,https://www.mobygames.com/images/covers/l/175380-fisher-price-perfect-fit-nes-front-cover.jpg,https://www.mobygames.com/game/fisher-price-perfect-fit,Educational,
Fist of the North Star,Shouei System,Taxan,Unreleased,April 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/Fist_of_the_North_Star_Coverart.png/220px-Fist_of_the_North_Star_Coverart.png,https://en.wikipedia.org/wiki/Fist_of_the_North_Star_(1987_video_game),Action,Single-player
Flight of the Intruder (NA)Phantom Air Mission (EU),Imagineering,Mindscape,Activision,May 1991,1991,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Flight_of_the_Intruder_Cover.jpg/220px-Flight_of_the_Intruder_Cover.jpg,https://en.wikipedia.org/wiki/Flight_of_the_Intruder_(video_game),Flight simulator,Single-player
The Flintstones: The Rescue of Dino & Hoppy,"Taito, Sol",Taito,Taito,December 1991,"April 30, 1992",https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Flintstones_Rescue_of_Dino_%26_Hoppy.png/220px-Flintstones_Rescue_of_Dino_%26_Hoppy.png,https://en.wikipedia.org/wiki/The_Flintstones:_The_Rescue_of_Dino_%26_Hoppy,Action platformer,Single-player
The Flintstones: Surprise at Dinosaur Peak,"Taito, Sol",Taito,Taito,August 1994,"February 24, 1994",https://upload.wikimedia.org/wikipedia/en/thumb/3/39/FlintDinoPeakEUBoxShotNES.jpg/220px-FlintDinoPeakEUBoxShotNES.jpg,https://en.wikipedia.org/wiki/The_Flintstones:_Surprise_at_Dinosaur_Peak,Platform[1],Single-player
Flying Dragon: The Secret Scroll,Culture Brain,Culture Brain,Unreleased,August 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/Flying_Dragon_The_Secret_Scroll_Cover.jpg/250px-Flying_Dragon_The_Secret_Scroll_Cover.jpg,https://en.wikipedia.org/wiki/Flying_Dragon:_The_Secret_Scroll,Fighting  role-playing video game,Single-player  Multiplayer (up to two players)
Flying Warriors,Culture Brain,Culture Brain,Unreleased,February 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/6/61/FW_NES.PNG,https://en.wikipedia.org/wiki/Flying_Warriors,Action,Single-player
Formula 1 Sensation,Konami,Unreleased,Palcom Software,Unreleased,1993,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/F-1_Sensation.jpg/220px-F-1_Sensation.jpg,https://en.wikipedia.org/wiki/F-1_Sensation,Racing[1],Single-player  Multiplayer
Formula One: Built to Win,Winkysoft,SETA,Unreleased,November 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Formula_One_Built_to_Win_Cover.jpg/220px-Formula_One_Built_to_Win_Cover.jpg,https://en.wikipedia.org/wiki/Formula_One:_Built_to_Win,Formula One racing[4],Single-player
Fox's Peter Pan and the Pirates: The Revenge of Captain Hook,"Richard Seaborne, Equilibrium",THQ,Unreleased,January 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Peter_Pan_and_the_Pirates_NES_cover.jpg/220px-Peter_Pan_and_the_Pirates_NES_cover.jpg,https://en.wikipedia.org/wiki/Peter_Pan_and_the_Pirates_(video_game),Side-scrolling,Single-player
Frankenstein: The Monster Returns,TOSE,Bandai,Unreleased,July 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Frankenstein_The_Monster_Returns_Cover.jpg/220px-Frankenstein_The_Monster_Returns_Cover.jpg,https://en.wikipedia.org/wiki/Frankenstein:_The_Monster_Returns,Action[4],Single-player
Freedom Force,Sunsoft,Sunsoft,Unreleased,April 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/b/b2/Freedom_Force_Video_Game_Boxcover.jpg/250px-Freedom_Force_Video_Game_Boxcover.jpg,https://en.wikipedia.org/wiki/Freedom_Force_(video_game),Light gun shooter action[2],"Single-player, Multiplayer (Arcade)"
Friday the 13th,Atlus,LJN,Unreleased,February 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/b/be/Friday_the_13th_NES.png,https://en.wikipedia.org/wiki/Friday_the_13th_(NES_video_game),Survival horror,Single player
Fun House,Realtime Associates,Hi Tech Expressions,Unreleased,January 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Fun_House_Cover.jpg/220px-Fun_House_Cover.jpg,https://en.wikipedia.org/wiki/Fun_House_(video_game),Action[1]/Shooter[2],NES: Single-player  MS-DOS: Single-player or Multiplayer
G.I. Joe: A Real American Hero,KID,Taxan,Unreleased,January 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/27/G.I._Joe_NES_Cover.jpg/220px-G.I._Joe_NES_Cover.jpg,https://en.wikipedia.org/wiki/G.I._Joe_(NES_video_game),"Action, platform, run and gun",Single player
G.I. Joe: The Atlantis Factor,KID,Capcom,Unreleased,March 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/G.I._Joe_The_Atlantis_Factor_Cover.jpg/220px-G.I._Joe_The_Atlantis_Factor_Cover.jpg,https://en.wikipedia.org/wiki/G.I._Joe:_The_Atlantis_Factor,2D action platformer,Single-player
Galaga: Demons of Death (NA)Galaga (EU),Namco,Bandai,Bandai,September 1988,1988,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Galaga_flyer.jpg/220px-Galaga_flyer.jpg,https://en.wikipedia.org/wiki/Galaga,Fixed shooter,"Single-player, multiplayer (alternating)"
Galaxy 5000,Activision,Activision,Activision,February 1991,February 1991,https://upload.wikimedia.org/wikipedia/en/b/b0/Galaxy5000.jpg,https://en.wikipedia.org/wiki/Galaxy_5000,Racing game,"Single-player, 2-player head-to-head"
Gargoyle's Quest II: The Demon Darkness,Capcom,Capcom,Capcom,October 1992,"June 17, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Gargoylesquest2.jpg/220px-Gargoylesquest2.jpg,https://en.wikipedia.org/wiki/Gargoyle%27s_Quest_II,Action-adventure,Single-player
Gauntlet[b],Tengen,Tengen,Unreleased,July 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Gauntlet_game_flyer.png/220px-Gauntlet_game_flyer.png,https://en.wikipedia.org/wiki/Gauntlet_(NES_video_game),Hack and slash  Dungeon crawl,"Single-player, 4-player multiplayer"
Gauntlet II,Eastridge Technology,Mindscape,Mindscape,September 1990,"April 25, 1991",https://upload.wikimedia.org/wikipedia/en/thumb/d/de/Gauntlet_II_game_flyer.png/220px-Gauntlet_II_game_flyer.png,https://en.wikipedia.org/wiki/Gauntlet_II,"Hack and slash, dungeon crawl",1-4 players simultaneously
Gemfire,Koei,Koei,Unreleased,March 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/GemfireSNES_boxart.jpg/220px-GemfireSNES_boxart.jpg,https://en.wikipedia.org/wiki/Gemfire,"Turn-based strategy, turn-based tactics","Single-player, Multiplayer"
Genghis Khan,Koei,Koei,Unreleased,January 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Genghis_Khan_Cover.jpg/220px-Genghis_Khan_Cover.jpg,https://en.wikipedia.org/wiki/Genghis_Khan_(video_game),Turn-based strategy,Single-player or Multiplayer
George Foreman's KO Boxing,Beam Software,Acclaim Entertainment,Acclaim Entertainment,December 1992,December 1992,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/George_Foreman%27s_KO_Boxing_Cover.jpg/220px-George_Foreman%27s_KO_Boxing_Cover.jpg,https://en.wikipedia.org/wiki/George_Foreman%27s_KO_Boxing,"Sports, Fighting","Single-player, two player[4]"
Ghostbusters,Bits Corporation,Activision,Unreleased,October 1988,Unreleased,https://www.mobygames.com/images/covers/l/19977-ghostbusters-atari-2600-front-cover.jpg,https://www.mobygames.com/game/ghostbusters,Action,Single-player
Ghostbusters II,Imagineering,Activision,Activision,April 1990,"December 7, 1990",https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/Ghostbusters2nes.jpg/220px-Ghostbusters2nes.jpg,https://en.wikipedia.org/wiki/Ghostbusters_II_(NES_video_game),Action,Single-player
Ghosts 'n Goblins (NA)Ghost 'n Goblins (EU),Micronics,Capcom,Capcom,"November 1, 1986","March 23, 1989",https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/GhostsnGoblins_flyer.jpg/220px-GhostsnGoblins_flyer.jpg,https://en.wikipedia.org/wiki/Ghosts_%27n_Goblins_(video_game),Platform,"Single-player, multiplayer"
Ghoul School,Imagineering,Electro Brain,Unreleased,March 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Ghoul_School_Cover.jpg/220px-Ghoul_School_Cover.jpg,https://en.wikipedia.org/wiki/Ghoul_School,"Action, survival horror",Single-player
Goal!,TOSE,Jaleco,Jaleco,October 1989,"March 24, 1994",https://upload.wikimedia.org/wikipedia/en/d/d1/NesGoal%21.jpg,https://en.wikipedia.org/wiki/Goal!_(video_game),Traditional soccer simulation,Single-player  Multiplayer
Goal! Two (NA/ES)Eric Cantona Football Challenge Goal! 2 (FR),TOSE,Jaleco,Jaleco,November 1992,1992,https://upload.wikimedia.org/wikipedia/en/1/14/Goal%21_Two_%28video_game_box_art%29.jpg,https://en.wikipedia.org/wiki/Goal!_Two,Sports game (soccer),"Single-player, two-player"
Godzilla: Monster of Monsters,Compile,Toho,Toho,October 1989,1991,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Godzilla_-_Monster_of_Monsters_%28video_game_box_art%29.jpg/220px-Godzilla_-_Monster_of_Monsters_%28video_game_box_art%29.jpg,https://en.wikipedia.org/wiki/Godzilla:_Monster_of_Monsters,Action,Single-player
Godzilla 2: War of the Monsters,???,Toho,Unreleased,February 1992,Unreleased,https://www.mobygames.com/images/shots/l/50822-godzilla-2-war-of-the-monsters-nes-screenshot-title-screen.png,https://en.wikipedia.org/wiki/Godzilla_2:_War_of_the_Monsters,Turn-based strategy,Single-player
Golf,Nintendo,Nintendo,Nintendo,"October 18, 1985","November 15, 1986",https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Golf_Coverart.png/220px-Golf_Coverart.png,https://en.wikipedia.org/wiki/Golf_(1984_video_game),Sports,"Single-player, multiplayer"
Golf Grand Slam,TOSE,Atlus,Unreleased,November 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Golf_Grand_Slam.jpg/220px-Golf_Grand_Slam.jpg,https://en.wikipedia.org/wiki/Golf_Grand_Slam_(video_game),Sports,"Single-player, multiplayer"
Golgo 13: Top Secret Episode,Vic Tokai,Vic Tokai,Unreleased,September 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Golgo_13_Top_Secret_Episode_%28cover_art%29.jpg/220px-Golgo_13_Top_Secret_Episode_%28cover_art%29.jpg,https://en.wikipedia.org/wiki/Golgo_13:_Top_Secret_Episode,Action adventure,Single-player 
The Goonies II,Konami,Konami,Konami,November 1987,"December 19, 1988",https://upload.wikimedia.org/wikipedia/en/7/76/Goonies2.jpg,https://en.wikipedia.org/wiki/The_Goonies_II,"Platform game, Metroidvania[1]",Single player
Gotcha! The Sport!,Atlus,LJN,Unreleased,November 1987,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/Gotcha_box.JPG/220px-Gotcha_box.JPG,https://en.wikipedia.org/wiki/Gotcha!_The_Sport!,Shooter,Single-player  Multiplayer
Gradius,Konami,Konami,Konami,December 1986,"November 30, 1988",https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Gradius_logo.svg/250px-Gradius_logo.svg.png,https://en.wikipedia.org/wiki/Gradius,Scrolling shooter,
The Great Waldo Search,Radiance,THQ,Unreleased,December 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/GWS.SNES.jpg/250px-GWS.SNES.jpg,https://en.wikipedia.org/wiki/The_Great_Waldo_Search_(video_game),Puzzle,Single-player
Greg Norman's Golf Power,Gremlin Interactive,Virgin Interactive,Unreleased,July 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/GregNormansGolfPowerBoxShotNES.jpg/220px-GregNormansGolfPowerBoxShotNES.jpg,https://en.wikipedia.org/wiki/Greg_Norman%27s_Golf_Power,Traditional golf simulation,"Single-player, multiplayer (2–4 players), match play, stroke play, hole design"
Gremlins 2: The New Batch,Sunsoft,Sunsoft,Sunsoft,October 1990,"February 21, 1991",https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Gremlins2nes.PNG/250px-Gremlins2nes.PNG,https://en.wikipedia.org/wiki/Gremlins_2:_The_New_Batch_(video_game),Platform game,Single-player
The Guardian Legend,Compile,Brøderbund,Nintendo,April 1989,"February 20, 1992",https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/TGL_Box.jpg/220px-TGL_Box.jpg,https://en.wikipedia.org/wiki/The_Guardian_Legend,"Action-adventure, scrolling shooter",Single-player
Guerrilla War,SNK,SNK,SNK,June 1989,1989,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Guerrilla_War_Cover.png/252px-Guerrilla_War_Cover.png,https://en.wikipedia.org/wiki/Guerrilla_War_(video_game),Run and gun,"Single-player, cooperative"
Gumshoe,Nintendo Research & Development 1,Nintendo,Nintendo,August 1986,May 1988,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Gumshoebox.jpg/220px-Gumshoebox.jpg,https://en.wikipedia.org/wiki/Gumshoe_(video_game),"Platform, shooter",Single-player
