title,developer,publisher_na,publisher_eu,release_na,release_eu,img,wiki_link,genre,multi-support
Bubble Bobble,Taito,Taito,Taito,1988,1990,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/Bubble_bobble.jpg/220px-Bubble_bobble.jpg,https://en.wikipedia.org/wiki/Bubble_Bobble,Platform,True
Bubble Bobble Part 2,OLMI.T.L,Taito,Unreleased,1993,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/Bubble_Bobble_Part_2_cover.jpg/220px-Bubble_Bobble_Part_2_cover.jpg,https://en.wikipedia.org/wiki/Bubble_Bobble_Part_2,Platform,True
Bucky O'Hare,Konami,Konami,Palcom Software,1992,1993,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Bucky_OHare_North_American_NES_box_art.jpg/220px-Bucky_OHare_North_American_NES_box_art.jpg,https://en.wikipedia.org/wiki/Bucky_O%27Hare_(Nintendo_Entertainment_System),Platform,False
The Bugs Bunny Birthday Blowout (NA)The Bugs Bunny Blowout (EU),Kemco,Kemco*Seika,Kemco,1990,1990,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/Bugs_Bunny_Birthday_Blowout.jpg/220px-Bugs_Bunny_Birthday_Blowout.jpg,https://en.wikipedia.org/wiki/The_Bugs_Bunny_Birthday_Blowout,Platform,False
The Bugs Bunny Crazy Castle,Kemco,Kemco*Seika,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/3/31/Crazy_Castle_Cover.png,https://en.wikipedia.org/wiki/Crazy_Castle_(series),Platform,False
Bump 'n' Jump,"Data East, Sakata SAS",Vic Tokai,Unreleased,1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Bumpnjump_arcadeflyer.PNG/220px-Bumpnjump_arcadeflyer.PNG,https://en.wikipedia.org/wiki/Bump_%27n%27_Jump,Vehicular combat,True
Burai Fighter,KID,Taxan,Nintendo,1990,1990,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Burai_Fighter_North_American_NES_box_art.jpg/220px-Burai_Fighter_North_American_NES_box_art.jpg,https://en.wikipedia.org/wiki/Burai_Fighter,Scrolling shooter,False
BurgerTime,"Data East, Sakata SAS",Data East,Unreleased,1987,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/0a/BurgerTime_arcadeflyer.png/220px-BurgerTime_arcadeflyer.png,https://en.wikipedia.org/wiki/BurgerTime,Platform,True
Cabal,Zippo Games,Milton Bradley Company,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/Cabal_arcadeflyer.png/220px-Cabal_arcadeflyer.png,https://en.wikipedia.org/wiki/Cabal_(video_game),Shooting gallery,True
Caesars Palace,Realtime Associates,Virgin Interactive,Unreleased,1992,Unreleased,https://www.mobygames.com/images/covers/l/175373-caesars-palace-nes-front-cover.jpg,https://www.mobygames.com/game/caesars-palace,Simulation,False
California Games,Rare,Milton Bradley Company,Milton Bradley Company,1989,1990,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/California_Games_Coverart.png/220px-California_Games_Coverart.png,https://en.wikipedia.org/wiki/California_Games,Sports,True
Capcom's Gold Medal Challenge '92,Make Software,Capcom,Capcom,1992,1993,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Capcom%27s_Gold_Medal_Challenge_%2792_Cover.jpg/220px-Capcom%27s_Gold_Medal_Challenge_%2792_Cover.jpg,https://en.wikipedia.org/wiki/Capcom%27s_Gold_Medal_Challenge_%2792,Sports,True
Captain America and The Avengers,Data East,Data East,Data East,1991,1991,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Captain_America_and_The_Avengers.jpg/220px-Captain_America_and_The_Avengers.jpg,https://en.wikipedia.org/wiki/Captain_America_and_The_Avengers,"Beat 'em up, platformer, action",True
Captain Planet and the Planeteers,Chris Gray Enterprises,Mindscape,Mindscape,1991,1992,https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Captain_Planet_and_the_Planeteers_Coverart.png/220px-Captain_Planet_and_the_Planeteers_Coverart.png,https://en.wikipedia.org/wiki/Captain_Planet_and_the_Planeteers_(video_game),2D action platformer,False
Captain Skyhawk,Rare,Milton Bradley Company,Nintendo,1990,1994,https://upload.wikimedia.org/wikipedia/en/thumb/b/b0/Captain_Skyhawk_Coverart.png/220px-Captain_Skyhawk_Coverart.png,https://en.wikipedia.org/wiki/Captain_Skyhawk,Scrolling shooter,False
Casino Kid,SOFEL,SOFEL,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/CasinoKidBoxart.jpg/220px-CasinoKidBoxart.jpg,https://en.wikipedia.org/wiki/Casino_Kid,Casino,False
Casino Kid 2,SOFEL,SOFEL,Unreleased,1993,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/CasinoKidBoxart.jpg/220px-CasinoKidBoxart.jpg,https://en.wikipedia.org/wiki/Casino_Kid_2,Casino,False
Castelian,Bits Studios,Triffix,Storm,1991,1993,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Nebulusinlay.jpg/220px-Nebulusinlay.jpg,https://en.wikipedia.org/wiki/Nebulus_(video_game),Platform,False
Castle of Dragon,Athena,SETA,Unreleased,1990,Unreleased,https://www.mobygames.com/images/covers/l/457744-castle-of-dragon-nes-front-cover.jpg,https://www.mobygames.com/game/nes/castle-of-dragon,Action,False
Castlequest,ASCII,Nexoft,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/3/34/CastlequestNESBoxart.jpg/220px-CastlequestNESBoxart.jpg,https://en.wikipedia.org/wiki/Castlequest,"Adventure, Puzzle",False
Castlevania,Konami,Konami,Konami,1987,1988,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Castlevania_1_cover.png/220px-Castlevania_1_cover.png,https://en.wikipedia.org/wiki/Castlevania_(1986_video_game),Platform,False
Castlevania II: Simon's Quest,Konami,Konami,Konami,1988,1990,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Castlevania_2_cover.png/220px-Castlevania_2_cover.png,https://en.wikipedia.org/wiki/Castlevania_II:_Simon%27s_Quest,Platform-adventure,False
Castlevania III: Dracula's Curse,Konami,Konami,Palcom Software,1990,1992,https://upload.wikimedia.org/wikipedia/en/thumb/9/95/Castlevania_III_Dracula%27s_Curse.jpg/220px-Castlevania_III_Dracula%27s_Curse.jpg,https://en.wikipedia.org/wiki/Castlevania_III:_Dracula%27s_Curse,"Action, platforming",False
Caveman Games,Painting by Numbers,Data East,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/CavemanUghlympics.jpg/220px-CavemanUghlympics.jpg,https://en.wikipedia.org/wiki/Caveman_Ughlympics,Sports,False
Championship Bowling,Athena,Romstar,Unreleased,1989,Unreleased,,https://en.wikipedia.org/wiki/Championship_Bowling,,False
Championship Pool,Bitmasters,Mindscape,Unreleased,1993,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/NESPool.jpg/220px-NESPool.jpg,https://en.wikipedia.org/wiki/Championship_Pool,Sports simulation – pool,True
Championship Rally,Human Entertainment,Unreleased,HAL Laboratory,Unreleased,1991,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Championship_Rally_cover_art.jpg/220px-Championship_Rally_cover_art.jpg,https://en.wikipedia.org/wiki/Championship_Rally,Racing,False
Chessmaster,Software Toolworks,Hi Tech Expressions,Nintendo,1990,1992,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Chessmaster_2000_cover.png/250px-Chessmaster_2000_cover.png,https://en.wikipedia.org/wiki/Chessmaster,Chess,False
Chip 'n Dale: Rescue Rangers,Capcom,Capcom,Capcom,1990,1991,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Chip_%27n_Dale_Rescue_Rangers_NES_Cover.png/220px-Chip_%27n_Dale_Rescue_Rangers_NES_Cover.png,https://en.wikipedia.org/wiki/Chip_%27n_Dale_Rescue_Rangers_(video_game),Platform,True
Chip 'n Dale: Rescue Rangers 2,Make Software,Capcom,Capcom,1994,1994,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Chip-and-dale-rescue-rangers-2-cover.jpg/220px-Chip-and-dale-rescue-rangers-2-cover.jpg,https://en.wikipedia.org/wiki/Chip_%27n_Dale:_Rescue_Rangers_2,Platform,True
Chubby Cherub,TOSE,Bandai,Unreleased,1986,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/Chubby_Cherub_Coverart.png/220px-Chubby_Cherub_Coverart.png,https://en.wikipedia.org/wiki/Chubby_Cherub,Action,False
Circus Caper,Advance Communication Company,Toho,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Circus_Caper_Cover.jpg/220px-Circus_Caper_Cover.jpg,https://en.wikipedia.org/wiki/Circus_Caper,Platform  Action,False
City Connection,Jaleco,Jaleco,Jaleco,1988,1988,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/City_Connection_arcade_flyer.png/220px-City_Connection_arcade_flyer.png,https://en.wikipedia.org/wiki/City_Connection,Platform,True
Clash at Demonhead,Vic Tokai,Vic Tokai,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/57/Clashatdemonhead.jpg/220px-Clashatdemonhead.jpg,https://en.wikipedia.org/wiki/Clash_at_Demonhead,"Action-adventure, platform, Metroidvania",False
Classic Concentration,Softie,GameTek,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Concentration_%28game_show%29_%28logo%29.png/250px-Concentration_%28game_show%29_%28logo%29.png,https://en.wikipedia.org/wiki/Classic_Concentration,,False
Cliffhanger,Spidersoft,Sony Imagesoft,Unreleased,1993,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/NesCliffhanger.jpg/220px-NesCliffhanger.jpg,https://en.wikipedia.org/wiki/Cliffhanger_(video_game),"Platform game, beat 'em up",False
Clu Clu Land,Nintendo Research & Development 1,Nintendo,Nintendo,1985,1987,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Clu_Clu_Land_Cover.jpg/220px-Clu_Clu_Land_Cover.jpg,https://en.wikipedia.org/wiki/Clu_Clu_Land,Puzzle,True
Cobra Command,Data East,Data East,Unreleased,1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/a/af/CobraCommand_arcadeflyer.png/220px-CobraCommand_arcadeflyer.png,https://en.wikipedia.org/wiki/Cobra_Command_(1988_video_game),Scrolling shooter,True
Cobra Triangle,Rare,Nintendo,Nintendo,1989,1989,https://upload.wikimedia.org/wikipedia/en/thumb/b/b5/Cobratriangle.jpg/220px-Cobratriangle.jpg,https://en.wikipedia.org/wiki/Cobra_Triangle,"Racing, vehicular combat",False
Code Name: Viper,"Arc System Works, Capcom",Capcom,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Code_Name_Viper_cover.jpg/220px-Code_Name_Viper_cover.jpg,https://en.wikipedia.org/wiki/Code_Name:_Viper,"Action, Shooter",False
Color a Dinosaur,FarSight Studios,Virgin Interactive,Unreleased,1993,Unreleased,https://upload.wikimedia.org/wikipedia/en/7/79/Coloradino-box.jpg,https://en.wikipedia.org/wiki/Color_a_Dinosaur,Drawing and creativity,False
Commando,Capcom,Capcom,Unreleased,1986,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/26/Commando_flyer.png/220px-Commando_flyer.png,https://en.wikipedia.org/wiki/Commando_(video_game),Run-and-gun,False
Conan: The Mysteries of Time,Eastridge Technology,Mindscape,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Mysteries_of_Time_cover.jpg/220px-Mysteries_of_Time_cover.jpg,https://en.wikipedia.org/wiki/Conan:_The_Mysteries_of_Time,Action,False
Conflict,Vic Tokai,Vic Tokai,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Conflict_NES_cover.jpg/220px-Conflict_NES_cover.jpg,https://en.wikipedia.org/wiki/Conflict_(video_game),Strategy,True
Conquest of the Crystal Palace,Quest,Asmik,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Conquest_of_the_Crystal_Palace_cover.jpg/220px-Conquest_of_the_Crystal_Palace_cover.jpg,https://en.wikipedia.org/wiki/Conquest_of_the_Crystal_Palace,Platform,False
Contra (NA)Probotector (EU),Konami,Konami,Konami,1988,1990,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/Contra_cover.jpg/220px-Contra_cover.jpg,https://en.wikipedia.org/wiki/Contra_(video_game),Run-and-gun shooter,True
Contra Force,Konami,Konami,Unreleased,1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/4/48/Contraforcecover.gif,https://en.wikipedia.org/wiki/Contra_Force,Run and gun,True
Cool World,Ocean Software,Ocean Software,Unreleased,1993,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Cool_World_NES.jpg/220px-Cool_World_NES.jpg,https://en.wikipedia.org/wiki/Cool_World_(NES_video_game),Action,False
Cowboy Kid,Pixel,Romstar,Unreleased,1992,Unreleased,https://www.musee-des-jeux-video.com/fr/screenshots/Nes/1/4779-titre-Cowboy-Kid.jpg,https://www.mobygames.com/game/nes/cowboy-kid,Action,True
Crackout,Konami,Unreleased,Palcom Software,Unreleased,1991,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Crackout_video_game.jpg/220px-Crackout_video_game.jpg,https://en.wikipedia.org/wiki/Crackout_(video_game),Breakout clone,False
Crash 'n the Boys: Street Challenge,Technōs Japan,Technōs Japan,Unreleased,1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Crash_N_the_Boys_Street_Challenge_NES_box_art.jpg/220px-Crash_N_the_Boys_Street_Challenge_NES_box_art.jpg,https://en.wikipedia.org/wiki/Crash_%27n_the_Boys:_Street_Challenge,Sports,True
Crystalis,SNK,SNK,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Crystalisboxart.jpg/220px-Crystalisboxart.jpg,https://en.wikipedia.org/wiki/Crystalis,"Action role-playing, Action-adventure",False
Cyberball,Richard Seaborne,Jaleco,Unreleased,1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Cyberball_Cover.jpg/220px-Cyberball_Cover.jpg,https://en.wikipedia.org/wiki/Cyberball,Sports,True
Cybernoid: The Fighting Machine,Raffaele Cecco,Acclaim Entertainment,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/d/d2/Cybernoid_computer_game_cover.jpg/220px-Cybernoid_computer_game_cover.jpg,https://en.wikipedia.org/wiki/Cybernoid:_The_Fighting_Machine,Shoot 'em up,False
Dance Aerobics,Human Entertainment,Nintendo,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Dance_Aerobics_Cover.jpg/220px-Dance_Aerobics_Cover.jpg,https://en.wikipedia.org/wiki/Dance_Aerobics,"Music game, Exercise",True
Danny Sullivan's Indy Heat,Rare,Tradewest,Tradewest,1992,1992,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/DannySullivansIndyHeat_arcadeflyer.png/220px-DannySullivansIndyHeat_arcadeflyer.png,https://en.wikipedia.org/wiki/Danny_Sullivan%27s_Indy_Heat,Racing,True
Darkman,Painting by Numbers,Ocean Software,Ocean Software,1991,1991,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Darkman_front.jpg/220px-Darkman_front.jpg,https://en.wikipedia.org/wiki/Darkman_(video_game),Action,False
Dash Galaxy in the Alien Asylum,Beam Software,Data East,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/d/da/DashGalaxyBoxart.jpg/220px-DashGalaxyBoxart.jpg,https://en.wikipedia.org/wiki/Dash_Galaxy_in_the_Alien_Asylum,Platform,False
Day Dreamin' Davey,Sculptured Software,HAL America,Unreleased,1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/DayDreaminDaveyNES.jpg/220px-DayDreaminDaveyNES.jpg,https://en.wikipedia.org/wiki/Day_Dreamin%27_Davey,Action-adventure,False
Days of Thunder (1990 video game),Beam Software,Mindscape,Mindscape,1990,1991,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/Days_of_Thunder_cover_art_%28NES%29.jpg/220px-Days_of_Thunder_cover_art_%28NES%29.jpg,https://en.wikipedia.org/wiki/Days_of_Thunder_(1990_video_game),Racing,True
Deadly Towers,"Lenar, Tamtex",Brøderbund,Unreleased,1987,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Deadly_Towers_boxart.png/220px-Deadly_Towers_boxart.png,https://en.wikipedia.org/wiki/Deadly_Towers,Action role-playing,False
Defender II,Vid Kidz,HAL America,Unreleased,1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/7/74/Stargate_flyer.png,https://en.wikipedia.org/wiki/Defender_II,Scrolling shooter,True
Defender of the Crown,Beam Software,Ultra Games,Palcom Software,1989,1991,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/DefenderOfTheCrown.jpg/220px-DefenderOfTheCrown.jpg,https://en.wikipedia.org/wiki/Defender_of_the_Crown,Strategy game,False
Defenders of Dynatron City,Lucasfilm Games,JVC Musical Industries,Unreleased,1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Defenders_of_Dynatron_City_Cover.jpg/220px-Defenders_of_Dynatron_City_Cover.jpg,https://en.wikipedia.org/wiki/Defenders_of_Dynatron_City,Action,False
Déjà Vu,Kemco,Kemco*Seika,Kemco,1990,1992,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/Deja_Vu_cover.png/220px-Deja_Vu_cover.png,https://en.wikipedia.org/wiki/D%C3%A9j%C3%A0_Vu_(video_game),Adventure,False
Demon Sword,TOSE,Taito,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Demon_Sword_Cover.jpg/220px-Demon_Sword_Cover.jpg,https://en.wikipedia.org/wiki/Demon_Sword,Action / Platformer,False
Desert Commander,Kemco,Kemco*Seika,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Nintendo_Entertainment_System_Desert_Commander_cover_art.jpg/220px-Nintendo_Entertainment_System_Desert_Commander_cover_art.jpg,https://en.wikipedia.org/wiki/Desert_Commander,Turn-based strategy,True
Destination Earthstar,Imagineering,Acclaim Entertainment,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/d/d2/Destination_Earthstar_Cover.jpg/220px-Destination_Earthstar_Cover.jpg,https://en.wikipedia.org/wiki/Destination_Earthstar,Shooter,False
Destiny of an Emperor,Capcom,Capcom,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/3/31/Destiny_of_an_Emperor_Cover.jpg,https://en.wikipedia.org/wiki/Destiny_of_an_Emperor,Strategy role-playing game,False
Devil World,Nintendo Research & Development 1,Unreleased,Nintendo,Unreleased,1987,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/DevilWorldBoxart.jpg/220px-DevilWorldBoxart.jpg,https://en.wikipedia.org/wiki/Devil_World,Maze,True
Dick Tracy,Realtime Associates,Bandai,Unreleased,1990,Unreleased,https://www.mobygames.com/images/covers/l/32221-dick-tracy-nes-front-cover.jpg,https://en.wikipedia.org/wiki/Dick_Tracy_(video_game)#NES_version,Action,False
Die Hard,Pack-In-Video,Activision,Activision,1992,1992,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Die_hard_nes_cover.jpeg/220px-Die_hard_nes_cover.jpeg,https://en.wikipedia.org/wiki/Die_Hard_(video_game),"Side-scrolling, Shooter, Action-adventure",False
Dig Dug II: Trouble in Paradise,Namco,Bandai,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/Dig_Dug_II_arcade_flyer.png/220px-Dig_Dug_II_arcade_flyer.png,https://en.wikipedia.org/wiki/Dig_Dug_II,Action puzzle,True
Digger T. Rock: Legend of the Lost City,Rare,Milton Bradley Company,Milton Bradley Company,1990,1991,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Digger_T._Rock_-_Legend_of_the_Lost_City_Coverart.png/220px-Digger_T._Rock_-_Legend_of_the_Lost_City_Coverart.png,https://en.wikipedia.org/wiki/Digger_T._Rock:_Legend_of_the_Lost_City,Platform,False
Dirty Harry,Gray Matter Inc.,Mindscape,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Dirty_Harry_-_The_War_Against_Drugs_Coverart.png/220px-Dirty_Harry_-_The_War_Against_Drugs_Coverart.png,https://en.wikipedia.org/wiki/Dirty_Harry_(1990_video_game),Action,False
Disney's Aladdin,NMS Software,Unreleased,Virgin Interactive,Unreleased,1994,https://upload.wikimedia.org/wikipedia/en/thumb/0/0d/Aladdingenesis.jpg/220px-Aladdingenesis.jpg,https://en.wikipedia.org/wiki/Disney%27s_Aladdin_(Virgin_Games_video_game),Platformer,False
Disney's Beauty and the Beast,Probe Software,Unreleased,Hudson Soft,Unreleased,1994,https://www.mobygames.com/images/shots/l/457856-disney-s-beauty-and-the-beast-nes-screenshot-title-screen.png,https://www.mobygames.com/game/nes/disneys-beauty-and-the-beast_,Action,False
Disney's Darkwing Duck,Capcom,Capcom,Capcom,1992,1993,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Darkwing_Duck_NES_Cover.png/220px-Darkwing_Duck_NES_Cover.png,https://en.wikipedia.org/wiki/Darkwing_Duck_(Capcom),Platform,False
Disney's The Jungle Book,"Eurocom, Virgin Interactive",Virgin Interactive,Virgin Interactive,1994,1994,https://upload.wikimedia.org/wikipedia/en/thumb/1/1f/Jungle_Book_game_cover.jpg/220px-Jungle_Book_game_cover.jpg,https://en.wikipedia.org/wiki/The_Jungle_Book_(video_game),Platformer,False
Disney's The Lion King,Dark Technologies,Unreleased,Virgin Interactive,Unreleased,1995,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/The_Lion_King_Coverart.png/220px-The_Lion_King_Coverart.png,https://en.wikipedia.org/wiki/The_Lion_King_(video_game),Platform,False
Disney's The Little Mermaid,Capcom,Capcom,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/f/f6/Little_Mermaid_game_cover.jpg/220px-Little_Mermaid_game_cover.jpg,https://en.wikipedia.org/wiki/The_Little_Mermaid_(video_game),Action,False
Donkey Kong,"Nintendo Research & Development 1, Nintendo Research & Development 2",Nintendo,Nintendo,1986,1986,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Donkey_Kong_flier.jpg/220px-Donkey_Kong_flier.jpg,https://en.wikipedia.org/wiki/Donkey_Kong_(video_game),Platform,False
Donkey Kong 3,Nintendo Research & Development 1,Nintendo,Nintendo,1986,1987,https://upload.wikimedia.org/wikipedia/en/thumb/2/27/Dk3_arcade.jpg/220px-Dk3_arcade.jpg,https://en.wikipedia.org/wiki/Donkey_Kong_3,Shooter,True
Donkey Kong Classics,Nintendo,Nintendo,Nintendo,1988,1989,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Donkeykong-logo1.svg/250px-Donkeykong-logo1.svg.png,https://en.wikipedia.org/wiki/Donkey_Kong_Classics,"
Platform, Action-adventure, Puzzle, Racing
",False
Donkey Kong Jr.,"Nintendo Research & Development 1, Nintendo Research & Development 2",Nintendo,Nintendo,1986,1987,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Donkey_Kong_Jr._arcade_promotional_flier.jpg/220px-Donkey_Kong_Jr._arcade_promotional_flier.jpg,https://en.wikipedia.org/wiki/Donkey_Kong_Jr.,Platform,True
Donkey Kong Jr. Math,Nintendo Research & Development 2,Nintendo,Nintendo,1986,1986,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Donkey_Kong_Jr_Math_box.jpg/220px-Donkey_Kong_Jr_Math_box.jpg,https://en.wikipedia.org/wiki/Donkey_Kong_Jr._Math,"Edutainment, platforming",True
Double Dare,Rare,GameTek,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/9/94/Double_Dare_NES_Game.jpg,https://en.wikipedia.org/wiki/Double_Dare_(video_game),Game show,True
Double Dragon,Technōs Japan,Tradewest,Nintendo,1988,1990,https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/Ddragon_chirashi.jpg/220px-Ddragon_chirashi.jpg,https://en.wikipedia.org/wiki/Double_Dragon_(video_game),Beat 'em up,True
Double Dragon II: The Revenge,Technōs Japan,Acclaim Entertainment,Acclaim Entertainment,1990,1990,https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/DD2_Flyer.jpg/220px-DD2_Flyer.jpg,https://en.wikipedia.org/wiki/Double_Dragon_II:_The_Revenge,Beat 'em up,True
Double Dragon III: The Sacred Stones,Technōs Japan,Acclaim Entertainment,Acclaim Entertainment,1991,1991,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/NES_Double_Dragon_III_cover.jpg/255px-NES_Double_Dragon_III_cover.jpg,https://en.wikipedia.org/wiki/Double_Dragon_III:_The_Sacred_Stones,Beat 'em up ,True
Double Dribble,Konami,Konami,Konami,1987,1988,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/DoubleDribble_arcadeflyer.png/256px-DoubleDribble_arcadeflyer.png,https://en.wikipedia.org/wiki/Double_Dribble_(video_game),Sports ,True
Dr. Chaos,"Marionette, SRS",FCI,Unreleased,1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/4/43/Drchaos_boxart.jpg,https://en.wikipedia.org/wiki/Dr._Chaos,Action-adventure,False
Dr. Jekyll and Mr. Hyde,Advance Communication Company,Bandai,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/8/89/DrJekyllAndMrHydeNESBoxart.jpg/220px-DrJekyllAndMrHydeNESBoxart.jpg,https://en.wikipedia.org/wiki/Dr._Jekyll_and_Mr._Hyde_(video_game),Side-scrolling action,False
Dr. Mario,Nintendo Research & Development 1,Nintendo,Nintendo,1990,1991,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Dr._Mario_box_art.jpg/220px-Dr._Mario_box_art.jpg,https://en.wikipedia.org/wiki/Dr._Mario,Puzzle,True
Dragon Fighter,Natsume,SOFEL,Unreleased,1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/a/a6/Dragon_Fighter_cover.jpg,https://en.wikipedia.org/wiki/Dragon_Fighter_(video_game),Action,False
Dragon Power (NA)Dragon Ball (EU),TOSE,Bandai,Bandai,1988,1990,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Dragon_Ball_anime_logo.png/250px-Dragon_Ball_anime_logo.png,https://en.wikipedia.org/wiki/Dragon_Power,"Fighting, role-playing",False
Dragon Spirit: The New Legend,Now Production,Bandai,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/1/19/Dragon-spirit.jpg/250px-Dragon-spirit.jpg,https://en.wikipedia.org/wiki/Dragon_Spirit:_The_New_Legend,Action,False
Dragon Warrior,Chunsoft,Nintendo,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Dragon_Warrior.jpg/220px-Dragon_Warrior.jpg,https://en.wikipedia.org/wiki/Dragon_Quest_(video_game),Role-playing,False
Dragon Warrior II,Chunsoft,Enix,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Dragon_Warrior_II.jpg/220px-Dragon_Warrior_II.jpg,https://en.wikipedia.org/wiki/Dragon_Quest_II,Role-playing,False
