title,wiki_link,developer,publisher_na,publisher_eu,release_na,release_eu,img,genre,mode
Dig Dug II: Trouble in Paradise,https://en.wikipedia.org/wiki/Dig_Dug_II,Namco,Bandai,Unreleased,December 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/Dig_Dug_II_arcade_flyer.png/220px-Dig_Dug_II_arcade_flyer.png,Action puzzle,"Single-player, multiplayer (alternating turns)"
Digger T. Rock: Legend of the Lost City,https://en.wikipedia.org/wiki/Digger_T._Rock:_Legend_of_the_Lost_City,Rare,Milton Bradley Company,Milton Bradley Company,December 1990,1991,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Digger_T._Rock_-_Legend_of_the_Lost_City_Coverart.png/220px-Digger_T._Rock_-_Legend_of_the_Lost_City_Coverart.png,Platform,Single-player
Dirty Harry,https://en.wikipedia.org/wiki/Dirty_Harry_(1990_video_game),Gray Matter Inc.,Mindscape,Unreleased,December 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Dirty_Harry_-_The_War_Against_Drugs_Coverart.png/220px-Dirty_Harry_-_The_War_Against_Drugs_Coverart.png,Action,Single player
Disney's Aladdin,https://en.wikipedia.org/wiki/Disney%27s_Aladdin_(Virgin_Games_video_game),NMS Software,Unreleased,Virgin Interactive,Unreleased,"December 31, 1994",https://upload.wikimedia.org/wikipedia/en/thumb/0/0d/Aladdingenesis.jpg/220px-Aladdingenesis.jpg,Platformer,Single-player
Disney's Beauty and the Beast,https://en.wikipedia.org/wiki/Beauty_and_the_Beast_(1991_film)#Video_games,Probe Software,Unreleased,Hudson Soft,Unreleased,1994,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Beautybeastposter.jpg/220px-Beautybeastposter.jpg,,
Disney's Darkwing Duck,https://en.wikipedia.org/wiki/Darkwing_Duck_(Capcom),Capcom,Capcom,Capcom,June 1992,"December 9, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Darkwing_Duck_NES_Cover.png/220px-Darkwing_Duck_NES_Cover.png,Platform,Single-player
Disney's The Jungle Book,https://en.wikipedia.org/wiki/The_Jungle_Book_(video_game),"Eurocom, Virgin Interactive",Virgin Interactive,Virgin Interactive,August 1994,"August 25, 1994",https://upload.wikimedia.org/wikipedia/en/thumb/1/1f/Jungle_Book_game_cover.jpg/220px-Jungle_Book_game_cover.jpg,Platformer,Single-player
Disney's The Lion King,https://en.wikipedia.org/wiki/The_Lion_King_(video_game),Dark Technologies,Unreleased,Virgin Interactive,Unreleased,"May 25, 1995",https://upload.wikimedia.org/wikipedia/en/thumb/1/16/The_Lion_King_Coverart.png/220px-The_Lion_King_Coverart.png,Platform,Single-player
Disney's The Little Mermaid,https://en.wikipedia.org/wiki/The_Little_Mermaid_(video_game),Capcom,Capcom,Unreleased,July 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/f/f6/Little_Mermaid_game_cover.jpg/220px-Little_Mermaid_game_cover.jpg,Action,Single-player
Donkey Kong,https://en.wikipedia.org/wiki/Donkey_Kong_(video_game),"Nintendo Research & Development 1, Nintendo Research & Development 2",Nintendo,Nintendo,"June 1, 1986","October 15, 1986",https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Donkey_Kong_flier.jpg/220px-Donkey_Kong_flier.jpg,Platform,Single-player
Donkey Kong 3,https://en.wikipedia.org/wiki/Donkey_Kong_3,Nintendo Research & Development 1,Nintendo,Nintendo,"June 6, 1986",September 1987,https://upload.wikimedia.org/wikipedia/en/thumb/2/27/Dk3_arcade.jpg/220px-Dk3_arcade.jpg,Shooter,"Single-player, multiplayer"
Donkey Kong Classics,https://en.wikipedia.org/wiki/Donkey_Kong_Classics,Nintendo,Nintendo,Nintendo,October 1988,"August 10, 1989",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Donkeykong-logo1.svg/250px-Donkeykong-logo1.svg.png,"
Platform
Action-adventure
Puzzle
Racing
",
Donkey Kong Jr.,https://en.wikipedia.org/wiki/Donkey_Kong_Jr.,"Nintendo Research & Development 1, Nintendo Research & Development 2",Nintendo,Nintendo,"June 1, 1986",1987,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Donkey_Kong_Jr._arcade_promotional_flier.jpg/220px-Donkey_Kong_Jr._arcade_promotional_flier.jpg,Platform,"Single-player, two-player alternating"
Donkey Kong Jr. Math,https://en.wikipedia.org/wiki/Donkey_Kong_Jr._Math,Nintendo Research & Development 2,Nintendo,Nintendo,"June 6, 1986",September 1986,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Donkey_Kong_Jr_Math_box.jpg/220px-Donkey_Kong_Jr_Math_box.jpg,"Edutainment, platforming","Single-player, multiplayer"
Double Dare,https://en.wikipedia.org/wiki/Double_Dare_(video_game),Rare,GameTek,Unreleased,April 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/9/94/Double_Dare_NES_Game.jpg,Game show,"Single-player, multiplayer"
Double Dragon,https://en.wikipedia.org/wiki/Double_Dragon_(video_game),Technōs Japan,Tradewest,Nintendo,June 1988,"September 28, 1990",https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/Ddragon_chirashi.jpg/220px-Ddragon_chirashi.jpg,Beat 'em up,"Up to 2 players, simultaneous"
Double Dragon II: The Revenge,https://en.wikipedia.org/wiki/Double_Dragon_II:_The_Revenge,Technōs Japan,Acclaim Entertainment,Acclaim Entertainment,January 1990,August 1990,https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/DD2_Flyer.jpg/220px-DD2_Flyer.jpg,Beat 'em up,"Single-player, multiplayer"
Double Dragon III: The Sacred Stones,https://en.wikipedia.org/wiki/Double_Dragon_III:_The_Sacred_Stones,Technōs Japan,Acclaim Entertainment,Acclaim Entertainment,February 1991,January 1991,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/NES_Double_Dragon_III_cover.jpg/255px-NES_Double_Dragon_III_cover.jpg,Beat 'em up ,"Single-player, multiplayer"
Double Dribble,https://en.wikipedia.org/wiki/Double_Dribble_(video_game),Konami,Konami,Konami,September 1987,1988,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/DoubleDribble_arcadeflyer.png/256px-DoubleDribble_arcadeflyer.png,Sports (basketball),Up to two players.
Dr. Chaos,https://en.wikipedia.org/wiki/Dr._Chaos,"Marionette, SRS",FCI,Unreleased,November 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/4/43/Drchaos_boxart.jpg,Action-adventure,Single-player
Dr. Jekyll and Mr. Hyde,https://en.wikipedia.org/wiki/Dr._Jekyll_and_Mr._Hyde_(video_game),Advance Communication Company,Bandai,Unreleased,April 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/8/89/DrJekyllAndMrHydeNESBoxart.jpg/220px-DrJekyllAndMrHydeNESBoxart.jpg,Side-scrolling action,Single-player
Dr. Mario,https://en.wikipedia.org/wiki/Dr._Mario,Nintendo Research & Development 1,Nintendo,Nintendo,"October 14, 1990","June 27, 1991",https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Dr._Mario_box_art.jpg/220px-Dr._Mario_box_art.jpg,Puzzle,"Single-player, multiplayer"
Dragon Fighter,https://en.wikipedia.org/wiki/Dragon_Fighter_(video_game),Natsume,SOFEL,Unreleased,January 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/a/a6/Dragon_Fighter_cover.jpg,Action,Single-player
Dragon Power (NA)Dragon Ball (EU),https://en.wikipedia.org/wiki/Dragon_Power,TOSE,Bandai,Bandai,March 1988,1990,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Dragon_Ball_anime_logo.png/250px-Dragon_Ball_anime_logo.png,"Fighting, role-playing",
Dragon Spirit: The New Legend,https://en.wikipedia.org/wiki/Dragon_Spirit:_The_New_Legend,Now Production,Bandai,Unreleased,June 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/1/19/Dragon-spirit.jpg/250px-Dragon-spirit.jpg,Action[1],Single-player
Dragon Warrior,https://en.wikipedia.org/wiki/Dragon_Quest_(video_game),Chunsoft,Nintendo,Unreleased,August 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Dragon_Warrior.jpg/220px-Dragon_Warrior.jpg,Role-playing,Single-player
Dragon Warrior II,https://en.wikipedia.org/wiki/Dragon_Quest_II,Chunsoft,Enix,Unreleased,September 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Dragon_Warrior_II.jpg/220px-Dragon_Warrior_II.jpg,Role-playing,Single-player
Dragon Warrior III,https://en.wikipedia.org/wiki/Dragon_Quest_III,Chunsoft,Enix,Unreleased,March 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/Dragon_Warrior_III.jpg/220px-Dragon_Warrior_III.jpg,Role-playing,Single-player
Dragon Warrior IV,https://en.wikipedia.org/wiki/Dragon_Quest_IV,Chunsoft,Enix,Unreleased,October 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Dragon_Quest_IV_cover.jpg/220px-Dragon_Quest_IV_cover.jpg,Role-playing,Single-player
Dragon's Lair,https://en.wikipedia.org/wiki/Dragon%27s_Lair_(NES_game),MotiveTime,CSG Imagesoft,Elite Systems,December 1990,"January 3, 1992",https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Dragon%27s_Lair_NES_cover.jpg/220px-Dragon%27s_Lair_NES_cover.jpg,Cinematic platformer,"Single-player, multiplayer[a]"
Dropzone,https://en.wikipedia.org/wiki/Dropzone,Eurocom,Unreleased,Mindscape,Unreleased,1992,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/Dropzone_Original_Cover_Art.jpg/220px-Dropzone_Original_Cover_Art.jpg,Scrolling shooter,Single-player
Duck Hunt,https://en.wikipedia.org/wiki/Duck_Hunt,"Nintendo Research & Development 1, Intelligent Systems",Nintendo,Nintendo,"October 18, 1985","August 15, 1987",https://upload.wikimedia.org/wikipedia/en/thumb/1/14/DuckHuntBox.jpg/220px-DuckHuntBox.jpg,"Light gun shooter, sports, shooting gallery","Single-player, Two-Player"
DuckTales[a],https://en.wikipedia.org/wiki/DuckTales_(video_game),Capcom,Capcom,Capcom,September 1989,"December 14, 1990",https://upload.wikimedia.org/wikipedia/en/thumb/6/64/DuckTales_NES_Cover.png/220px-DuckTales_NES_Cover.png,Platform,Single-player
DuckTales 2,https://en.wikipedia.org/wiki/DuckTales_2,Make Software,Capcom,Capcom,June 1993,"November 18, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Ducktales_2_cover.png/220px-Ducktales_2_cover.png,Platform,Single-player
Dungeon Magic: Sword of the Elements,https://en.wikipedia.org/wiki/Dungeon_Magic:_Sword_of_the_Elements,Natsume,Taito,Unreleased,July 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/8/85/Dungeon_Magic_Sword_of_the_Elements.jpg,Role-playing game,Single-player
Dusty Diamond's All-Star Softball,https://en.wikipedia.org/wiki/Dusty_Diamond%27s_All-Star_Softball,TOSE,Brøderbund,Unreleased,July 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Dusty_Diamond%27s_All-Star_Softball_Cover.jpg/220px-Dusty_Diamond%27s_All-Star_Softball_Cover.jpg,Sports (softball) [1],Single-player  Multiplayer (up to 2 players)
Dynowarz: Destruction of Spondylus,https://en.wikipedia.org/wiki/Dynowarz:_Destruction_of_Spondylus,Advance Communication Company,Bandai,Unreleased,April 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Dynowarztitle.PNG/220px-Dynowarztitle.PNG,Platformer,Single-player
Elevator Action,https://en.wikipedia.org/wiki/Elevator_Action,Micronics,Taito,Unreleased,August 1987,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/Elevator_Action.png/220px-Elevator_Action.png,"Platform, action","Single-player, multiplayer"
Eliminator Boat Duel,https://en.wikipedia.org/wiki/Eliminator_Boat_Duel,Sculptured Software,Electro Brain,Storm,November 1991,"April 29, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Eliminator_Boat_Duel_cover.jpg/220px-Eliminator_Boat_Duel_cover.jpg,Racing,"Single-player, two-player"
Elite,https://en.wikipedia.org/wiki/Elite_(video_game),David BrabenIan Bell,Unreleased,Imagineer,Unreleased,1991,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Elite_org_cover.jpg/220px-Elite_org_cover.jpg,Space trading and combat simulator,Single player
Excitebike,https://en.wikipedia.org/wiki/Excitebike,Nintendo Research & Development 1,Nintendo,Nintendo,"October 18, 1985","September 1, 1986",https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Excitebike_cover.jpg/220px-Excitebike_cover.jpg,Racing,"Single player, multiplayer"
F-15 Strike Eagle,https://en.wikipedia.org/wiki/F-15_Strike_Eagle_(video_game),MicroProse,MicroProse,MicroProse,February 1992,"February 18, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/6/64/F-15_Strike_Eagle_Coverart.jpg/220px-F-15_Strike_Eagle_Coverart.jpg,Air combat simulation,Single-player
F-117A Stealth Fighter,https://en.wikipedia.org/wiki/F-117A_Stealth_Fighter,MicroProse,MicroProse,Unreleased,December 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/F-117A_Stealth_Fighter_cover.png/220px-F-117A_Stealth_Fighter_cover.png,Combat flight simulator,Single-player
Family Feud,https://en.wikipedia.org/wiki/Family_Feud#Merchandise,Beam Software,GameTek,Unreleased,May 1991,Unreleased,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Logo_of_Family_Feud.png/250px-Logo_of_Family_Feud.png,,
Faria: A World of Mystery and Danger,https://en.wikipedia.org/wiki/Faria:_A_World_of_Mystery_and_Danger,Game Arts,Nexoft,Unreleased,June 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/58/Faria_cover.jpg/220px-Faria_cover.jpg,Action role-playing,Single-player
Faxanadu,https://en.wikipedia.org/wiki/Faxanadu,Hudson Soft,Nintendo,Nintendo,August 1989,"December 28, 1990",https://upload.wikimedia.org/wikipedia/en/5/57/Faxanadu_NES_US_box.jpg,Action role-playing game,Single-player
Felix the Cat,https://en.wikipedia.org/wiki/Felix_the_Cat_(video_game),Shimada Kikaku,Hudson Soft,Hudson Soft,October 1992,1992,https://upload.wikimedia.org/wikipedia/en/thumb/a/a9/FelixNESBoxart.JPG/220px-FelixNESBoxart.JPG,Platform,Single-player
Ferrari Grand Prix Challenge,https://en.wikipedia.org/wiki/F-1_Hero_MD,System 3,Acclaim Entertainment,Acclaim Entertainment,June 1992,June 1992,https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/F-1_Hero_MD.jpg/220px-F-1_Hero_MD.jpg,Racing,Single-player
Fester's Quest,https://en.wikipedia.org/wiki/Fester%27s_Quest,Sunsoft,Sunsoft,Sunsoft,September 1989,"September 14, 1990",https://upload.wikimedia.org/wikipedia/en/thumb/2/24/FestersQuest.jpg/220px-FestersQuest.jpg,Run and gun / Adventure,Single-player
Final Fantasy,https://en.wikipedia.org/wiki/Final_Fantasy_(video_game),Square,Nintendo,Unreleased,May 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/FF1_USA_boxart.jpg/220px-FF1_USA_boxart.jpg,Role-playing,Single-player
Fire 'n Ice (NA)Solomon's Key 2 (EU),https://en.wikipedia.org/wiki/Fire_%27n_Ice,Tecmo,Tecmo,Tecmo,March 1993,"March 18, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Solomon%27s_Key_2_cover.jpg/220px-Solomon%27s_Key_2_cover.jpg,Puzzle game,Single-player
Fisher-Price: Firehouse Rescue,https://en.wikipedia.org/wiki/Fisher-Price:_Firehouse_Rescue,Imagineering,GameTek,Unreleased,March 1992,Unreleased,,,
Fisher-Price: I Can Remember,https://en.wikipedia.org/wiki/Fisher-Price:_I_Can_Remember,Beam Software,GameTek,Unreleased,March 1990,Unreleased,,,
Fisher-Price: Perfect Fit,https://en.wikipedia.org/wiki/Fisher-Price:_Perfect_Fit,Beam Software,GameTek,Unreleased,March 1990,Unreleased,,,
Fist of the North Star,https://en.wikipedia.org/wiki/Fist_of_the_North_Star_(1987_video_game),Shouei System,Taxan,Unreleased,April 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/Fist_of_the_North_Star_Coverart.png/220px-Fist_of_the_North_Star_Coverart.png,Action,Single-player
Flight of the Intruder (NA)Phantom Air Mission (EU),https://en.wikipedia.org/wiki/Flight_of_the_Intruder_(video_game),Imagineering,Mindscape,Activision,May 1991,1991,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Flight_of_the_Intruder_Cover.jpg/220px-Flight_of_the_Intruder_Cover.jpg,Flight simulator,Single-player
The Flintstones: The Rescue of Dino & Hoppy,https://en.wikipedia.org/wiki/The_Flintstones:_The_Rescue_of_Dino_%26_Hoppy,"Taito, Sol",Taito,Taito,December 1991,"April 30, 1992",https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Flintstones_Rescue_of_Dino_%26_Hoppy.png/220px-Flintstones_Rescue_of_Dino_%26_Hoppy.png,Action platformer,Single-player
The Flintstones: Surprise at Dinosaur Peak,https://en.wikipedia.org/wiki/The_Flintstones:_Surprise_at_Dinosaur_Peak,"Taito, Sol",Taito,Taito,August 1994,"February 24, 1994",https://upload.wikimedia.org/wikipedia/en/thumb/3/39/FlintDinoPeakEUBoxShotNES.jpg/220px-FlintDinoPeakEUBoxShotNES.jpg,Platform[1],Single-player
Flying Dragon: The Secret Scroll,https://en.wikipedia.org/wiki/Flying_Dragon:_The_Secret_Scroll,Culture Brain,Culture Brain,Unreleased,August 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/Flying_Dragon_The_Secret_Scroll_Cover.jpg/250px-Flying_Dragon_The_Secret_Scroll_Cover.jpg,Fighting  role-playing video game,Single-player  Multiplayer (up to two players)
Flying Warriors,https://en.wikipedia.org/wiki/Flying_Warriors,Culture Brain,Culture Brain,Unreleased,February 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/6/61/FW_NES.PNG,Action,Single-player
Formula 1 Sensation,https://en.wikipedia.org/wiki/F-1_Sensation,Konami,Unreleased,Palcom Software,Unreleased,1993,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/F-1_Sensation.jpg/220px-F-1_Sensation.jpg,Racing[1],Single-player  Multiplayer
Formula One: Built to Win,https://en.wikipedia.org/wiki/Formula_One:_Built_to_Win,Winkysoft,SETA,Unreleased,November 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Formula_One_Built_to_Win_Cover.jpg/220px-Formula_One_Built_to_Win_Cover.jpg,Formula One racing[4],Single-player
Fox's Peter Pan and the Pirates: The Revenge of Captain Hook,https://en.wikipedia.org/wiki/Peter_Pan_and_the_Pirates_(video_game),"Richard Seaborne, Equilibrium",THQ,Unreleased,January 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Peter_Pan_and_the_Pirates_NES_cover.jpg/220px-Peter_Pan_and_the_Pirates_NES_cover.jpg,Side-scrolling,Single-player
Frankenstein: The Monster Returns,https://en.wikipedia.org/wiki/Frankenstein:_The_Monster_Returns,TOSE,Bandai,Unreleased,July 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Frankenstein_The_Monster_Returns_Cover.jpg/220px-Frankenstein_The_Monster_Returns_Cover.jpg,Action[4],Single-player
Freedom Force,https://en.wikipedia.org/wiki/Freedom_Force_(video_game),Sunsoft,Sunsoft,Unreleased,April 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/b/b2/Freedom_Force_Video_Game_Boxcover.jpg/250px-Freedom_Force_Video_Game_Boxcover.jpg,Light gun shooter action[2],"Single-player, Multiplayer (Arcade)"
Friday the 13th,https://en.wikipedia.org/wiki/Friday_the_13th_(NES_video_game),Atlus,LJN,Unreleased,February 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/b/be/Friday_the_13th_NES.png,Survival horror,Single player
Fun House,https://en.wikipedia.org/wiki/Fun_House_(video_game),Realtime Associates,Hi Tech Expressions,Unreleased,January 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Fun_House_Cover.jpg/220px-Fun_House_Cover.jpg,Action[1]/Shooter[2],NES: Single-player  MS-DOS: Single-player or Multiplayer
G.I. Joe: A Real American Hero,https://en.wikipedia.org/wiki/G.I._Joe_(NES_video_game),KID,Taxan,Unreleased,January 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/27/G.I._Joe_NES_Cover.jpg/220px-G.I._Joe_NES_Cover.jpg,"Action, platform, run and gun",Single player
G.I. Joe: The Atlantis Factor,https://en.wikipedia.org/wiki/G.I._Joe:_The_Atlantis_Factor,KID,Capcom,Unreleased,March 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/G.I._Joe_The_Atlantis_Factor_Cover.jpg/220px-G.I._Joe_The_Atlantis_Factor_Cover.jpg,2D action platformer,Single-player
Galaga: Demons of Death (NA)Galaga (EU),https://en.wikipedia.org/wiki/Galaga,Namco,Bandai,Bandai,September 1988,1988,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Galaga_flyer.jpg/220px-Galaga_flyer.jpg,Fixed shooter,"Single-player, multiplayer (alternating)"
Galaxy 5000,https://en.wikipedia.org/wiki/Galaxy_5000,Activision,Activision,Activision,February 1991,February 1991,https://upload.wikimedia.org/wikipedia/en/b/b0/Galaxy5000.jpg,Racing game,"Single-player, 2-player head-to-head"
Gargoyle's Quest II: The Demon Darkness,https://en.wikipedia.org/wiki/Gargoyle%27s_Quest_II,Capcom,Capcom,Capcom,October 1992,"June 17, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Gargoylesquest2.jpg/220px-Gargoylesquest2.jpg,Action-adventure,Single-player
Gauntlet[b],https://en.wikipedia.org/wiki/Gauntlet_(NES_video_game),Tengen,Tengen,Unreleased,July 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Gauntlet_game_flyer.png/220px-Gauntlet_game_flyer.png,Hack and slash  Dungeon crawl,"Single-player, 4-player multiplayer"
Gauntlet II,https://en.wikipedia.org/wiki/Gauntlet_II,Eastridge Technology,Mindscape,Mindscape,September 1990,"April 25, 1991",https://upload.wikimedia.org/wikipedia/en/thumb/d/de/Gauntlet_II_game_flyer.png/220px-Gauntlet_II_game_flyer.png,"Hack and slash, dungeon crawl",1-4 players simultaneously
Gemfire,https://en.wikipedia.org/wiki/Gemfire,Koei,Koei,Unreleased,March 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/GemfireSNES_boxart.jpg/220px-GemfireSNES_boxart.jpg,"Turn-based strategy, turn-based tactics","Single-player, Multiplayer"
Genghis Khan,https://en.wikipedia.org/wiki/Genghis_Khan_(video_game),Koei,Koei,Unreleased,January 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Genghis_Khan_Cover.jpg/220px-Genghis_Khan_Cover.jpg,Turn-based strategy,Single-player or Multiplayer
George Foreman's KO Boxing,https://en.wikipedia.org/wiki/George_Foreman%27s_KO_Boxing,Beam Software,Acclaim Entertainment,Acclaim Entertainment,December 1992,December 1992,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/George_Foreman%27s_KO_Boxing_Cover.jpg/220px-George_Foreman%27s_KO_Boxing_Cover.jpg,"Sports, Fighting","Single-player, two player[4]"
Ghostbusters,https://en.wikipedia.org/wiki/Ghostbusters_(video_game)#Ghostbusters_(Activision),Bits Corporation,Activision,Unreleased,October 1988,Unreleased,,,Single-player
Ghostbusters II,https://en.wikipedia.org/wiki/Ghostbusters_II_(NES_video_game),Imagineering,Activision,Activision,April 1990,"December 7, 1990",https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/Ghostbusters2nes.jpg/220px-Ghostbusters2nes.jpg,Action,Single-player
Ghosts 'n Goblins (NA)Ghost 'n Goblins (EU),https://en.wikipedia.org/wiki/Ghosts_%27n_Goblins_(video_game),Micronics,Capcom,Capcom,"November 1, 1986","March 23, 1989",https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/GhostsnGoblins_flyer.jpg/220px-GhostsnGoblins_flyer.jpg,Platform,"Single-player, multiplayer"
Ghoul School,https://en.wikipedia.org/wiki/Ghoul_School,Imagineering,Electro Brain,Unreleased,March 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Ghoul_School_Cover.jpg/220px-Ghoul_School_Cover.jpg,"Action, survival horror",Single-player
Goal!,https://en.wikipedia.org/wiki/Goal!_(video_game),TOSE,Jaleco,Jaleco,October 1989,"March 24, 1994",https://upload.wikimedia.org/wikipedia/en/d/d1/NesGoal%21.jpg,Traditional soccer simulation,Single-player  Multiplayer
Goal! Two (NA/ES)Eric Cantona Football Challenge Goal! 2 (FR),https://en.wikipedia.org/wiki/Goal!_Two,TOSE,Jaleco,Jaleco,November 1992,1992,https://upload.wikimedia.org/wikipedia/en/1/14/Goal%21_Two_%28video_game_box_art%29.jpg,Sports game (soccer),"Single-player, two-player"
Godzilla: Monster of Monsters,https://en.wikipedia.org/wiki/Godzilla:_Monster_of_Monsters,Compile,Toho,Toho,October 1989,1991,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Godzilla_-_Monster_of_Monsters_%28video_game_box_art%29.jpg/220px-Godzilla_-_Monster_of_Monsters_%28video_game_box_art%29.jpg,Action,Single-player
Godzilla 2: War of the Monsters,https://en.wikipedia.org/wiki/Godzilla_2:_War_of_the_Monsters,???,Toho,Unreleased,February 1992,Unreleased,,Turn-based strategy,Single-player
Golf,https://en.wikipedia.org/wiki/Golf_(1984_video_game),Nintendo,Nintendo,Nintendo,"October 18, 1985","November 15, 1986",https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Golf_Coverart.png/220px-Golf_Coverart.png,Sports,"Single-player, multiplayer"
Golf Grand Slam,https://en.wikipedia.org/wiki/Golf_Grand_Slam_(video_game),TOSE,Atlus,Unreleased,November 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Golf_Grand_Slam.jpg/220px-Golf_Grand_Slam.jpg,Sports,"Single-player, multiplayer"
Golgo 13: Top Secret Episode,https://en.wikipedia.org/wiki/Golgo_13:_Top_Secret_Episode,Vic Tokai,Vic Tokai,Unreleased,September 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Golgo_13_Top_Secret_Episode_%28cover_art%29.jpg/220px-Golgo_13_Top_Secret_Episode_%28cover_art%29.jpg,Action adventure,Single-player 
The Goonies II,https://en.wikipedia.org/wiki/The_Goonies_II,Konami,Konami,Konami,November 1987,"December 19, 1988",https://upload.wikimedia.org/wikipedia/en/7/76/Goonies2.jpg,"Platform game, Metroidvania[1]",Single player
Gotcha! The Sport!,https://en.wikipedia.org/wiki/Gotcha!_The_Sport!,Atlus,LJN,Unreleased,November 1987,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/Gotcha_box.JPG/220px-Gotcha_box.JPG,Shooter,Single-player  Multiplayer
Gradius,https://en.wikipedia.org/wiki/Gradius,Konami,Konami,Konami,December 1986,"November 30, 1988",https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Gradius_logo.svg/250px-Gradius_logo.svg.png,Scrolling shooter,
The Great Waldo Search,https://en.wikipedia.org/wiki/The_Great_Waldo_Search_(video_game),Radiance,THQ,Unreleased,December 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/GWS.SNES.jpg/250px-GWS.SNES.jpg,Puzzle,Single-player
